"","time","depth","forecast_issue_time","data_assimilation","ForecastProject_id","Forecast_id","Statistic","species_1","species_2"
"165",2019-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.58941662039929,15.5515878525857
"166",2019-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.59750846594328,11.1011326802986
"167",2019-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",5.89738568559439,6.02716854605291
"168",2019-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.58998303325771,15.832022048094
"169",2019-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",7.50959528503979,17.9225604046071
"170",2019-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",7.20854033352513,15.3918379463795
"171",2019-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.69922543862092,22.3999580769048
"172",2020-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",7.23728528752908,21.0034160090562
"173",2020-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",7.05488363373284,20.2750147273144
"174",2020-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.39740556331053,22.2585712946911
"175",2020-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",7.25258582430931,19.7991267315382
"176",2020-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",7.00089124262124,16.6433741287324
"177",2020-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.60240296207346,22.7801396780662
"178",2020-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.70042918478252,15.7282352970716
"179",2020-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",5.9870822375534,6.71614813860851
"180",2020-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.10928826414114,20.690558544712
"181",2021-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.20084533945118,10.8572413725903
"182",2021-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.02861910236541,7.39961043069945
"183",2021-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",6.3154829125187,12.9896133460215
"184",2021-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.37473110627871,12.9100641830846
"185",2021-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",5.91929449700316,5.90540086155311
"186",2021-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",6.89711796066479,19.2529280582467
"187",2021-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.69698578142745,13.7876330243509
"188",2021-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.22376741439819,11.9354216081245
"189",2021-03-22,5,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.56857080750135,16.7496273075002
"190",2022-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",7.2002115673249,21.6538637458377
"191",2022-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.97808353237767,19.1639408331924
"192",2022-03-22,1,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.53232408484335,23.0143183687022
"193",2022-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","mean",6.98079369994602,17.8466169058761
"194",2022-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_02.5",6.38693933025804,14.8370581163287
"195",2022-03-22,3,2001-03-04,0,30405043,"631b924e-b057-4abf-8798-071d44d7cf05","Conf_interv_97.5",7.64590783298801,22.4268970732549
